Ident,Photo,Ci,Tleaf,PARi,Press
15_Sicot_5,13.38226586,748.8928591,19.24173546,1999.015259,94.89610291
15_Sicot_5,13.46726616,1043.043245,19.32605362,1998.771362,94.89266968
15_Sicot_5,13.81739329,1430.314011,19.39938736,2000.146851,94.88776398
20_Sicot_1,-2.719931753,21.36239848,21.95501328,1999.151611,94.32574463
20_Sicot_1,0.370972907,46.57388603,21.97722626,2000.107422,94.33322906
20_Sicot_1,3.412442599,77.35641581,21.90561676,2000.42041,94.32653809
20_Sicot_1,9.223368739,143.7527324,21.78721046,2000.77124,94.31167603
20_Sicot_1,14.01900969,216.437429,21.7229538,2000.886597,94.31043243
20_Sicot_1,17.1258983,298.426648,21.68904877,2000.592773,94.31639099
20_Sicot_1,19.02624201,532.1832421,21.71909904,2000.172607,94.31149292
20_Sicot_1,19.39919511,769.6652375,21.81680489,1999.963623,94.302742
20_Sicot_1,20.38687929,1045.522788,22.0933094,1999.322998,94.30757904
20_Sicot_1,21.87410992,1408.071241,22.31704521,1999.114258,94.31686401
20_Sicot_2,-2.498101482,25.95050229,21.46740341,1999.006714,95.25904846
20_Sicot_2,-0.084065873,49.61304178,21.66968346,2000.862915,95.26828003
20_Sicot_2,2.704968431,78.69740943,21.44737816,2001.089722,95.26937866
20_Sicot_2,7.763903691,141.9584383,21.31703568,1999.503052,95.26914215
20_Sicot_2,12.7450797,209.8146585,21.60461998,1999.367676,95.27309418
20_Sicot_2,16.65705507,282.9492363,21.57405472,2001.168213,95.27161407
20_Sicot_2,21.29317369,481.8231029,21.47639847,2001.282227,95.26906586
20_Sicot_2,21.7617833,679.6002614,21.47951889,2000.717896,95.26384735
20_Sicot_2,22.6796707,890.1112905,21.48428535,1999.469849,95.25694275
20_Sicot_2,24.05053821,1143.830543,21.7815876,1998.692993,95.25779724
20_Sicot_3,-2.360829184,33.24220383,25.7353878,1999.276978,95.28836823
20_Sicot_3,-0.043928371,48.96978956,25.69614792,1999.746216,95.28856659
20_Sicot_3,2.903777982,67.89104387,25.36425591,1999.483154,95.2844162
20_Sicot_3,8.649108161,109.9642265,25.65038681,1999.35791,95.27909088
20_Sicot_3,14.03171423,160.7245666,25.61184692,1999.036621,95.27622223
20_Sicot_3,18.54769686,215.7959355,25.61206627,1999.152466,95.27683258
20_Sicot_3,22.43789998,1047.464222,26.17687225,1998.663574,95.26902008
20_Sicot_3,23.5367704,775.820163,25.08994293,1999.392944,95.27217102
20_Sicot_3,23.99132169,540.4469945,25.87309647,1998.772339,95.26911163
20_Sicot_3,25.15416771,380.67606,25.63196373,1999.085815,95.27189636
20_Sicot_4,-2.334393983,33.32203892,23.49514389,2000.366089,95.26429749
20_Sicot_4,0.017097876,48.69281426,23.39706039,2000.401611,95.26399994
20_Sicot_4,2.793683339,72.29624093,23.30610085,1998.838867,95.26761627
20_Sicot_4,8.844045492,123.1159208,23.2766552,1999.373169,95.26622009
20_Sicot_4,14.82472826,180.2998858,23.23070145,2000.351563,95.26385498
20_Sicot_4,20.07665704,243.7709545,23.20586586,1998.926636,95.26268005
20_Sicot_4,26.02419319,433.0510935,23.33232117,1998.896973,95.26377106
20_Sicot_4,26.82896503,549.7829278,23.75504112,2000.146484,95.25387573
20_Sicot_4,27.10320549,617.9552706,24.00470924,2000.496704,95.25414276
20_Sicot_4,28.37190904,732.9798475,24.23164368,2000.020264,95.24640656
20_Sicot_5,-1.630358963,35.72447003,23.52238655,1999.579956,94.92510986
20_Sicot_5,-0.022138865,49.29637166,23.49091911,1999.090088,94.91684723
20_Sicot_5,1.715128138,70.68009192,23.44672966,2000.236938,94.91566467
